"Player" "Run" "BF" "X4s" "X6s" "SR"
"V Kohli" 19 18 3 0 105.56
"V Kohli" 99 100 9 0 99
"V Kohli" 86 84 9 2 102.38
"V Kohli" 115 66 18 1 174.24
"V Kohli" 115 66 18 1 174.24
"V Kohli" 68 73 9 0 93.15
"V Kohli" 100 52 8 7 192.31
"V Kohli" 61 85 6 0 71.76
"V Kohli" 139 126 12 3 110.32
"V Kohli" 66 64 6 0 103.13
"V Kohli" 53 61 4 1 86.89
"V Kohli" 49 44 2 2 111.36
"V Kohli" 22 21 2 0 104.76
"V Kohli" 5 11 0 0 45.45
"V Kohli" 48 51 4 1 94.12
"V Kohli" 136 122 16 2 111.48
