,Team 1,Team 2,Winner,Margin,Ground,Match Date,Type
613,Supergiant,KKR,KKR,7 wickets,Pune,"Apr 26, 2017",T20
614,RCB,Guj Lions,Guj Lions,7 wickets,Bengaluru,"Apr 27, 2017",T20
615,KKR,Daredevils,KKR,7 wickets,Kolkata,"Apr 28, 2017",T20
616,Kings XI,Sunrisers,Sunrisers,26 runs,Mohali,"Apr 28, 2017",T20
617,Supergiant,RCB,Supergiant,61 runs,Pune,"Apr 29, 2017",T20
618,Guj Lions,Mum Indians,tied,,Rajkot,"Apr 29, 2017",T20
619,Kings XI,Daredevils,Kings XI,10 wickets,Mohali,"Apr 30, 2017",T20
620,Sunrisers,KKR,Sunrisers,48 runs,Hyderabad (Deccan),"Apr 30, 2017",T20
621,Mum Indians,RCB,Mum Indians,5 wickets,Mumbai,"May 1, 2017",T20
622,Supergiant,Guj Lions,Supergiant,5 wickets,Pune,"May 1, 2017",T20
623,Daredevils,Sunrisers,Daredevils,6 wickets,Delhi,"May 2, 2017",T20
624,KKR,Supergiant,Supergiant,4 wickets,Kolkata,"May 3, 2017",T20
625,Daredevils,Guj Lions,Daredevils,7 wickets,Delhi,"May 4, 2017",T20
626,RCB,Kings XI,Kings XI,19 runs,Bengaluru,"May 5, 2017",T20
627,Sunrisers,Supergiant,Supergiant,12 runs,Hyderabad (Deccan),"May 6, 2017",T20
628,Daredevils,Mum Indians,Mum Indians,146 runs,Delhi,"May 6, 2017",T20
629,RCB,KKR,KKR,6 wickets,Bengaluru,"May 7, 2017",T20
630,Kings XI,Guj Lions,Guj Lions,6 wickets,Mohali,"May 7, 2017",T20
631,Sunrisers,Mum Indians,Sunrisers,7 wickets,Hyderabad (Deccan),"May 8, 2017",T20
632,Kings XI,KKR,Kings XI,14 runs,Mohali,"May 9, 2017",T20
633,Guj Lions,Daredevils,Daredevils,2 wickets,Kanpur,"May 10, 2017",T20
634,Mum Indians,Kings XI,Kings XI,7 runs,Mumbai,"May 11, 2017",T20
635,Daredevils,Supergiant,Daredevils,7 runs,Delhi,"May 12, 2017",T20
636,Guj Lions,Sunrisers,Sunrisers,8 wickets,Kanpur,"May 13, 2017",T20
637,KKR,Mum Indians,Mum Indians,9 runs,Kolkata,"May 13, 2017",T20
638,Supergiant,Kings XI,Supergiant,9 wickets,Pune,"May 14, 2017",T20
639,Daredevils,RCB,RCB,10 runs,Delhi,"May 14, 2017",T20
640,Mum Indians,Supergiant,Supergiant,20 runs,Mumbai,"May 16, 2017",T20
641,Sunrisers,KKR,KKR,7 wickets,Bengaluru,"May 17, 2017",T20
642,Mum Indians,KKR,Mum Indians,6 wickets,Bengaluru,"May 19, 2017",T20
643,Mum Indians,Supergiant,Mum Indians,1 run,Hyderabad (Deccan),"May 21, 2017",T20
644,Mum Indians,Super Kings,Super Kings,1 wicket,Mumbai,"Apr 7, 2018",T20
645,Kings XI,Daredevils,Kings XI,6 wickets,Mohali,"Apr 8, 2018",T20
646,KKR,RCB,KKR,4 wickets,Kolkata,"Apr 8, 2018",T20
647,Sunrisers,Royals,Sunrisers,9 wickets,Hyderabad (Deccan),"Apr 9, 2018",T20
648,Super Kings,KKR,Super Kings,5 wickets,Chennai,"Apr 10, 2018",T20
649,Royals,Daredevils,Royals,10 runs,Jaipur,"Apr 11, 2018",T20
650,Sunrisers,Mum Indians,Sunrisers,1 wicket,Hyderabad (Deccan),"Apr 12, 2018",T20
651,RCB,Kings XI,RCB,4 wickets,Bengaluru,"Apr 13, 2018",T20
652,Mum Indians,Daredevils,Daredevils,7 wickets,Mumbai,"Apr 14, 2018",T20
653,KKR,Sunrisers,Sunrisers,5 wickets,Kolkata,"Apr 14, 2018",T20
654,RCB,Royals,Royals,19 runs,Bengaluru,"Apr 15, 2018",T20
655,Kings XI,Super Kings,Kings XI,4 runs,Mohali,"Apr 15, 2018",T20
656,KKR,Daredevils,KKR,71 runs,Kolkata,"Apr 16, 2018",T20
657,Mum Indians,RCB,Mum Indians,46 runs,Mumbai,"Apr 17, 2018",T20
658,Royals,KKR,KKR,7 wickets,Jaipur,"Apr 18, 2018",T20
659,Kings XI,Sunrisers,Kings XI,15 runs,Mohali,"Apr 19, 2018",T20
660,Super Kings,Royals,Super Kings,64 runs,Pune,"Apr 20, 2018",T20
661,KKR,Kings XI,Kings XI,9 wickets,Kolkata,"Apr 21, 2018",T20
662,RCB,Daredevils,RCB,6 wickets,Bengaluru,"Apr 21, 2018",T20
663,Sunrisers,Super Kings,Super Kings,4 runs,Hyderabad (Deccan),"Apr 22, 2018",T20
