,Team 1,Team 2,Winner,Margin,Ground,Match Date,Type
393,Mum Indians,Royals,Mum Indians,14 runs,Mumbai,"May 15, 2013",T20
394,Kings XI,Daredevils,Kings XI,7 runs,Dharamsala,"May 16, 2013",T20
395,Sunrisers,Royals,Sunrisers,23 runs,Hyderabad (Deccan),"May 17, 2013",T20
396,Kings XI,Mum Indians,Kings XI,50 runs,Dharamsala,"May 18, 2013",T20
397,RCB,Super Kings,RCB,24 runs,Bengaluru,"May 18, 2013",T20
398,Warriors,Daredevils,Warriors,38 runs,Pune,"May 19, 2013",T20
399,Sunrisers,KKR,Sunrisers,5 wickets,Hyderabad (Deccan),"May 19, 2013",T20
400,Super Kings,Mum Indians,Super Kings,48 runs,Delhi,"May 21, 2013",T20
401,Royals,Sunrisers,Royals,4 wickets,Delhi,"May 22, 2013",T20
402,Mum Indians,Royals,Mum Indians,4 wickets,Kolkata,"May 24, 2013",T20
403,Super Kings,Mum Indians,Mum Indians,23 runs,Kolkata,"May 26, 2013",T20
404,Mum Indians,KKR,KKR,41 runs,Abu Dhabi,"Apr 16, 2014",T20
405,Daredevils,RCB,RCB,8 wickets,Sharjah,"Apr 17, 2014",T20
406,Super Kings,Kings XI,Kings XI,6 wickets,Abu Dhabi,"Apr 18, 2014",T20
407,Sunrisers,Royals,Royals,4 wickets,Abu Dhabi,"Apr 18, 2014",T20
408,RCB,Mum Indians,RCB,7 wickets,Dubai (DSC),"Apr 19, 2014",T20
409,KKR,Daredevils,Daredevils,4 wickets,Dubai (DSC),"Apr 19, 2014",T20
410,Royals,Kings XI,Kings XI,7 wickets,Sharjah,"Apr 20, 2014",T20
411,Super Kings,Daredevils,Super Kings,93 runs,Abu Dhabi,"Apr 21, 2014",T20
412,Kings XI,Sunrisers,Kings XI,72 runs,Sharjah,"Apr 22, 2014",T20
413,Royals,Super Kings,Super Kings,7 runs,Dubai (DSC),"Apr 23, 2014",T20
414,RCB,KKR,KKR,2 runs,Sharjah,"Apr 24, 2014",T20
415,Sunrisers,Daredevils,Sunrisers,4 runs,Dubai (DSC),"Apr 25, 2014",T20
416,Super Kings,Mum Indians,Super Kings,7 wickets,Dubai (DSC),"Apr 25, 2014",T20
417,Royals,RCB,Royals,6 wickets,Abu Dhabi,"Apr 26, 2014",T20
418,KKR,Kings XI,Kings XI,23 runs,Abu Dhabi,"Apr 26, 2014",T20
419,Daredevils,Mum Indians,Daredevils,6 wickets,Sharjah,"Apr 27, 2014",T20
420,Sunrisers,Super Kings,Super Kings,5 wickets,Sharjah,"Apr 27, 2014",T20
421,Kings XI,RCB,Kings XI,5 wickets,Dubai (DSC),"Apr 28, 2014",T20
422,KKR,Royals,tied,,Abu Dhabi,"Apr 29, 2014",T20
423,Mum Indians,Sunrisers,Sunrisers,15 runs,Dubai (DSC),"Apr 30, 2014",T20
424,Super Kings,KKR,Super Kings,34 runs,Ranchi,"May 2, 2014",T20
425,Mum Indians,Kings XI,Mum Indians,5 wickets,Mumbai,"May 3, 2014",T20
426,Daredevils,Royals,Royals,7 wickets,Delhi,"May 3, 2014",T20
427,RCB,Sunrisers,RCB,4 wickets,Bengaluru,"May 4, 2014",T20
428,Royals,KKR,Royals,10 runs,Ahmedabad,"May 5, 2014",T20
429,Daredevils,Super Kings,Super Kings,8 wickets,Delhi,"May 5, 2014",T20
430,Mum Indians,RCB,Mum Indians,19 runs,Mumbai,"May 6, 2014",T20
431,Daredevils,KKR,KKR,8 wickets,Delhi,"May 7, 2014",T20
432,Kings XI,Super Kings,Kings XI,44 runs,Cuttack,"May 7, 2014",T20
433,Royals,Sunrisers,Sunrisers,32 runs,Ahmedabad,"May 8, 2014",T20
434,RCB,Kings XI,Kings XI,32 runs,Bengaluru,"May 9, 2014",T20
435,Daredevils,Sunrisers,Sunrisers,8 wickets,Delhi,"May 10, 2014",T20
436,Mum Indians,Super Kings,Super Kings,4 wickets,Mumbai,"May 10, 2014",T20
437,Kings XI,KKR,KKR,9 wickets,Cuttack,"May 11, 2014",T20
438,RCB,Royals,Royals,5 wickets,Bengaluru,"May 11, 2014",T20
439,Sunrisers,Mum Indians,Mum Indians,7 wickets,Hyderabad (Deccan),"May 12, 2014",T20
440,Super Kings,Royals,Super Kings,5 wickets,Ranchi,"May 13, 2014",T20
441,RCB,Daredevils,RCB,16 runs,Bengaluru,"May 13, 2014",T20
442,Sunrisers,Kings XI,Kings XI,6 wickets,Hyderabad (Deccan),"May 14, 2014",T20
443,KKR,Mum Indians,KKR,6 wickets,Cuttack,"May 14, 2014",T20
444,Royals,Daredevils,Royals,62 runs,Ahmedabad,"May 15, 2014",T20
445,Super Kings,RCB,RCB,5 wickets,Ranchi,"May 18, 2014",T20
446,Sunrisers,KKR,KKR,7 wickets,Hyderabad (Deccan),"May 18, 2014",T20
447,Royals,Mum Indians,Mum Indians,25 runs,Ahmedabad,"May 19, 2014",T20
448,Daredevils,Kings XI,Kings XI,4 wickets,Delhi,"May 19, 2014",T20
449,Sunrisers,RCB,Sunrisers,7 wickets,Hyderabad (Deccan),"May 20, 2014",T20
450,KKR,Super Kings,KKR,8 wickets,Kolkata,"May 20, 2014",T20
451,Kings XI,Mum Indians,Mum Indians,7 wickets,Mohali,"May 21, 2014",T20
452,KKR,RCB,KKR,30 runs,Kolkata,"May 22, 2014",T20
453,Super Kings,Sunrisers,Sunrisers,6 wickets,Ranchi,"May 22, 2014",T20
454,Mum Indians,Daredevils,Mum Indians,15 runs,Mumbai,"May 23, 2014",T20
455,Kings XI,Royals,Kings XI,16 runs,Mohali,"May 23, 2014",T20
456,RCB,Super Kings,Super Kings,8 wickets,Bengaluru,"May 24, 2014",T20
457,KKR,Sunrisers,KKR,4 wickets,Kolkata,"May 24, 2014",T20
458,Kings XI,Daredevils,Kings XI,7 wickets,Mohali,"May 25, 2014",T20
459,Mum Indians,Royals,Mum Indians,5 wickets,Mumbai,"May 25, 2014",T20
460,Kings XI,KKR,KKR,28 runs,Kolkata,"May 27-28, 2014",T20
461,Super Kings,Mum Indians,Super Kings,7 wickets,Mumbai (BS),"May 28, 2014",T20
462,Super Kings,Kings XI,Kings XI,24 runs,Mumbai,"May 30, 2014",T20
463,KKR,Kings XI,KKR,3 wickets,Bengaluru,"Jun 1, 2014",T20
464,KKR,Mum Indians,KKR,7 wickets,Kolkata,"Apr 8, 2015",T20
465,Super Kings,Daredevils,Super Kings,1 run,Chennai,"Apr 9, 2015",T20
466,Kings XI,Royals,Royals,26 runs,Pune,"Apr 10, 2015",T20
467,Super Kings,Sunrisers,Super Kings,45 runs,Chennai,"Apr 11, 2015",T20
468,KKR,RCB,RCB,3 wickets,Kolkata,"Apr 11, 2015",T20
469,Daredevils,Royals,Royals,3 wickets,Delhi,"Apr 12, 2015",T20
470,Mum Indians,Kings XI,Kings XI,18 runs,Mumbai,"Apr 12, 2015",T20
471,RCB,Sunrisers,Sunrisers,8 wickets,Bengaluru,"Apr 13, 2015",T20
472,Royals,Mum Indians,Royals,7 wickets,Ahmedabad,"Apr 14, 2015",T20
473,Kings XI,Daredevils,Daredevils,5 wickets,Pune,"Apr 15, 2015",T20
474,Sunrisers,Royals,Royals,6 wickets,Visakhapatnam,"Apr 16, 2015",T20
475,Mum Indians,Super Kings,Super Kings,6 wickets,Mumbai,"Apr 17, 2015",T20
476,Sunrisers,Daredevils,Daredevils,4 runs,Visakhapatnam,"Apr 18, 2015",T20
477,Kings XI,KKR,KKR,4 wickets,Pune,"Apr 18, 2015",T20
478,Royals,Super Kings,Royals,8 wickets,Ahmedabad,"Apr 19, 2015",T20
479,RCB,Mum Indians,Mum Indians,18 runs,Bengaluru,"Apr 19, 2015",T20
480,Daredevils,KKR,KKR,6 wickets,Delhi,"Apr 20, 2015",T20
481,Royals,Kings XI,tied,,Ahmedabad,"Apr 21, 2015",T20
482,Sunrisers,KKR,Sunrisers,16 runs,Visakhapatnam,"Apr 22, 2015",T20
483,RCB,Super Kings,Super Kings,27 runs,Bengaluru,"Apr 22, 2015",T20
484,Daredevils,Mum Indians,Daredevils,37 runs,Delhi,"Apr 23, 2015",T20
485,Royals,RCB,RCB,9 wickets,Ahmedabad,"Apr 24, 2015",T20
486,Mum Indians,Sunrisers,Mum Indians,20 runs,Mumbai,"Apr 25, 2015",T20
487,Super Kings,Kings XI,Super Kings,97 runs,Chennai,"Apr 25, 2015",T20
488,KKR,Royals,abandoned,,Kolkata,"Apr 26, 2015",T20
489,Daredevils,RCB,RCB,10 wickets,Delhi,"Apr 26, 2015",T20
490,Kings XI,Sunrisers,Sunrisers,20 runs,Mohali,"Apr 27, 2015",T20
491,Super Kings,KKR,Super Kings,2 runs,Chennai,"Apr 28, 2015",T20
492,RCB,Royals,no result,,Bengaluru,"Apr 29, 2015",T20
493,KKR,Super Kings,KKR,7 wickets,Kolkata,"Apr 30, 2015",T20
494,Daredevils,Kings XI,Daredevils,9 wickets,Delhi,"May 1, 2015",T20
495,Mum Indians,Royals,Mum Indians,8 runs,Mumbai,"May 1, 2015",T20
496,RCB,KKR,RCB,7 wickets,Bengaluru,"May 2, 2015",T20
497,Sunrisers,Super Kings,Sunrisers,22 runs,Hyderabad (Deccan),"May 2, 2015",T20
498,Kings XI,Mum Indians,Mum Indians,23 runs,Mohali,"May 3, 2015",T20
499,Royals,Daredevils,Royals,14 runs,Mumbai (BS),"May 3, 2015",T20
500,Super Kings,RCB,Super Kings,24 runs,Chennai,"May 4, 2015",T20
501,KKR,Sunrisers,KKR,35 runs,Kolkata,"May 4, 2015",T20
502,Mum Indians,Daredevils,Mum Indians,5 wickets,Mumbai,"May 5, 2015",T20
503,RCB,Kings XI,RCB,138 runs,Bengaluru,"May 6, 2015",T20
504,Royals,Sunrisers,Sunrisers,7 runs,Mumbai (BS),"May 7, 2015",T20
505,KKR,Daredevils,KKR,13 runs,Kolkata,"May 7, 2015",T20
506,Super Kings,Mum Indians,Mum Indians,6 wickets,Chennai,"May 8, 2015",T20
507,KKR,Kings XI,KKR,1 wicket,Kolkata,"May 9, 2015",T20
508,Daredevils,Sunrisers,Sunrisers,6 runs,Raipur,"May 9, 2015",T20
509,Mum Indians,RCB,RCB,39 runs,Mumbai,"May 10, 2015",T20
510,Super Kings,Royals,Super Kings,12 runs,Chennai,"May 10, 2015",T20
511,Sunrisers,Kings XI,Sunrisers,5 runs,Hyderabad (Deccan),"May 11, 2015",T20
512,Daredevils,Super Kings,Daredevils,6 wickets,Raipur,"May 12, 2015",T20
513,Kings XI,RCB,Kings XI,22 runs,Mohali,"May 13, 2015",T20
514,Mum Indians,KKR,Mum Indians,5 runs,Mumbai,"May 14, 2015",T20
515,Sunrisers,RCB,RCB,6 wickets,Hyderabad (Deccan),"May 15, 2015",T20
516,Kings XI,Super Kings,Super Kings,7 wickets,Mohali,"May 16, 2015",T20
517,Royals,KKR,Royals,9 runs,Mumbai (BS),"May 16, 2015",T20
